Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Michael Nanchoff,VAN,M,155,2,0,0,0.05,-0.05,4,0,0.22,0.27,0.094,2011
Joseph Nane,COL,M,350,2,0,0,0.05,-0.05,2,0,0.16,0.21,0.103,2011
Andrew Wiedeman,FCD,F,67,2,0,0,0.05,-0.05,0,0,0,0.05,0.068,2011
Chris Leitch,SJ,D,1176,1,1,0,0.06,-0.06,10,1,1.26,1.31,0.111,2011
Cam Weaver,HOU,F,1715,30,0.1,4,4.06,-0.06,13,0,1.44,5.5,0.064,2011
Peter Vagenas,VAN,M,1093,2,0,0,0.06,-0.06,15,0,0.93,0.99,0.124,2011
Brian Ching,HOU,F,1326,31,0.129,5,5.06,-0.06,13,1,1.02,6.08,0.061,2011
Frankie Hejduk,LA,D,493,2,1,0,0.06,-0.06,1,0,0.02,0.08,0.103,2011
Tristan Bowen,CHV,F,74,2,0,0,0.06,-0.06,1,0,0.02,0.08,0.066,2011
Ashtone Morgan,TOR,D,978,2,1,0,0.06,-0.06,8,2,0.89,0.96,0.105,2011
Russell Teibert,VAN,M,536,2,0,0,0.06,-0.06,9,0,0.97,1.04,0.09,2011
Michael Videira,CHI,M,525,3,1,0,0.07,-0.07,6,1,0.44,0.51,0.112,2011
Craig Rocastle,SKC,M,329,2,0,0,0.07,-0.07,0,0,0,0.07,0.104,2011
Corey Hertzog,NYRB,F,45,1,1,0,0.07,-0.07,0,0,0,0.07,0.037,2011
Shaun Francis,CLB,D,451,3,0.667,0,0.07,-0.07,4,0,0.57,0.65,0.129,2011
Kofi Sarkodie,HOU,D,630,2,0,0,0.07,-0.07,3,0,0.28,0.35,0.096,2011
Leandre Griffit,CLB,M,6,1,0,0,0.08,-0.08,0,0,0,0.08,0.043,2011
Marcos Mondaini,CHV,F,1611,28,0.179,3,3.08,-0.08,27,1,2.47,5.54,0.084,2011
Carlos Mendes,NYRB,D,1593,2,0,0,0.08,-0.08,4,0,0.29,0.36,0.093,2011
Tim Ward,SJ,D,241,1,1,0,0.08,-0.08,1,0,0.03,0.11,0.123,2011
Matthew Luzunaris,SJ,F,87,1,1,0,0.08,-0.08,1,0,0.03,0.11,0.042,2011
Dasan Robinson,LA,D,367,4,0.25,1,1.08,-0.08,0,0,0,1.08,0.078,2011
Atiba Harris,VAN,F,479,12,0.333,2,2.09,-0.09,4,1,0.55,2.64,0.086,2011
Chris Albright,NYRB,D,505,1,0,0,0.09,-0.09,4,0,0.12,0.21,0.11,2011
Maykel Galindo,FCD,F,169,2,0.5,0,0.09,-0.09,4,0,0.26,0.35,0.091,2011
Bilal Duckett,VAN,D,242,1,0,0,0.1,-0.1,1,0,0.05,0.14,0.096,2011
