Name	Position	Team	Games	Season	Age	Salary	Goals	Assists	Goals_Sixty	Assists_Sixty	CF_Percent	PDO	SH_Percent	CFRel_Percent	CF_Percent	Corsi	CorsiFor	CorsiAgainst	Shots	TOI
Jason.Arnott	C	NSH	83	20072008	32	4.5	15	33	0.81	1.78	52.95	103.26	9.15	4.16	48.79	116	1040	924	149	1113.38
Jason.Arnott	C	NSH	65	20082009	33	4.5	23	14	1.56	0.95	49.44	102.26	19.49	0.45	48.99	-19	838	857	95	883.47
Jason.Arnott	C	NSH	69	20092010	34	4.5	14	12	0.85	0.73	51.95	99.65	8.92	0.66	51.29	71	946	875	143	984.1
Jason.Arnott	C	N.J/WSH	82	20102011	35	4.5	11	11	0.63	0.63	53.29	98.53	7.86	1.17	52.12	117	948	831	129	1044.47
Jason.Arnott	C	STL	79	20112012	36	2.5	10	9	0.69	0.62	53.49	101.84	9.09	1.23	52.26	111	851	740	100	874.26
Dean.Arsene	D	EDM	13	20092010	29	0.5	0	0	0	0	36.16	99.17	0	-4.59	40.75	-75	98	173	4	153.27
Evgeny.Artyukhin	LR	T.B	73	20082009	25	0.9	5	9	0.41	0.75	44.93	102.5	5.56	-3.27	48.2	-123	545	668	85	723.41
Evgeny.Artyukhin	LR	ANA/ATL	54	20092010	26	1	9	7	1.15	0.89	45.11	100.81	23.08	-2.2	47.31	-74	341	415	30	471.31
Viktor.Arvidsson	LR	NSH	6	20142015	21	0.615	0	0	0	0	47.62	100.3	0	-4.25	51.87	-5	50	55	9	61.33
Viktor.Arvidsson	LR	NSH	47	20152016	22	0.64	6	7	0.64	0.75	53.69	96.52	5.66	1.71	51.97	78	568	490	100	563.12
Arron.Asham	R	N.J	82	20072008	29	NA	6	4	0.58	0.38	50.71	98.06	9.09	-1.85	52.57	13	463	450	60	625.94
Arron.Asham	R	PHI	84	20082009	30	0.64	9	13	0.77	1.12	48.37	100.31	12.16	0.61	47.76	-39	580	619	65	699.08
Arron.Asham	R	PHI	95	20092010	31	0.64	14	17	0.9	1.09	51.64	99.21	11.97	2.07	49.57	58	913	855	103	936.94
Arron.Asham	R	PIT	51	20102011	32	0.7	8	7	0.97	0.85	48.69	100.2	11.76	-5.18	53.87	-22	410	432	60	495.85
Arron.Asham	R	PIT	67	20112012	33	0.775	5	11	0.51	1.12	49.19	98.82	10	-5.41	54.6	-16	486	502	45	589.73
Arron.Asham	R	NYR	37	20122013	34	1	4	0	0.99	0	40.24	104.45	19.05	-10.29	50.53	-80	165	245	17	241.76
Arron.Asham	R	NYR	6	20132014	35	1	0	0	0	0	39.24	78.26	0	-11.88	51.12	-17	31	48	1	44.94
Carter.Ashton	L	TOR	15	20112012	20	0.9	0	0	0	0	46.03	86.84	0	-0.36	46.39	-20	116	136	22	155.69
Carter.Ashton	L	TOR	32	20132014	22	0.81	0	3	0	0.91	43.77	103.12	0	-0.68	44.44	-43	151	194	22	198.42
Carter.Ashton	L	TOR	7	20142015	23	0.851	0	0	0	0	39.44	88	0	-2.94	42.38	-15	28	43	4	43.77
Andreas.Athanasiou	L	DET	28	20152016	21	0.667	5	4	1.26	1.01	52.33	100.17	13.89	-2.66	54.99	20	225	205	31	238.31
Cam.Atkinson	R	CBJ	27	20112012	22	0.713	5	5	0.91	0.91	50.33	99.63	8.93	5.97	44.36	4	306	302	51	327.95
Cam.Atkinson	R	CBJ	35	20122013	23	0.838	7	8	0.92	1.05	53.22	103.28	8.54	9.58	43.64	50	413	363	75	455.31
